feature,mean_abs_shap,target,target_column,model_name,rows_explained,background_rows
pm10_rolling_mean_24h,4.569300083523043,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_pressure_day1_avg,4.318569521399442,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_temp_day3_avg,3.544879274566311,day_1,target_aqi_day1_avg,gradient_boosting,120,60
wind_speed_rolling_mean_24h,3.256433615387194,day_1,target_aqi_day1_avg,gradient_boosting,120,60
pm25_rolling_mean_24h,3.235479074452631,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_temp_day1_avg,3.1157658393787404,day_1,target_aqi_day1_avg,gradient_boosting,120,60
us_aqi,2.8936066331799544,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_pressure_day2_avg,2.8403217738357514,day_1,target_aqi_day1_avg,gradient_boosting,120,60
aqi_rolling_mean_24h,2.8079619643463993,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_wind_direction_day3_avg,2.0280739379435557,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_temp_day2_avg,1.985366204171872,day_1,target_aqi_day1_avg,gradient_boosting,120,60
aqi_lag_6h,1.9512585596106904,day_1,target_aqi_day1_avg,gradient_boosting,120,60
surface_pressure,1.7388428026927987,day_1,target_aqi_day1_avg,gradient_boosting,120,60
aqi_lag_24h,1.5041221195021508,day_1,target_aqi_day1_avg,gradient_boosting,120,60
aqi_rolling_mean_12h,1.468124648956355,day_1,target_aqi_day1_avg,gradient_boosting,120,60
latitude,1.2113649277254148,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_wind_day3_avg,1.1767217730397597,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_wind_day1_max,1.126391486146674,day_1,target_aqi_day1_avg,gradient_boosting,120,60
aqi_lag_1h,1.0826428394515253,day_1,target_aqi_day1_avg,gradient_boosting,120,60
aqi_lag_3h,1.0337824464161032,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_wind_direction_day1_avg,0.9341648593306734,day_1,target_aqi_day1_avg,gradient_boosting,120,60
aqi_lag_12h,0.9014854399157185,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_pressure_day3_avg,0.8967463369030704,day_1,target_aqi_day1_avg,gradient_boosting,120,60
pressure_rolling_mean_24h,0.6211887946273659,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_humidity_day2_avg,0.525310364629899,day_1,target_aqi_day1_avg,gradient_boosting,120,60
aqi_rolling_mean_6h,0.4520379535215848,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_wind_day1_avg,0.3698940840900088,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_wind_day3_max,0.2687312648767143,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_wind_direction_day2_avg,0.2269548331217293,day_1,target_aqi_day1_avg,gradient_boosting,120,60
dust,0.18868746798723396,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_humidity_day1_avg,0.16520358225394055,day_1,target_aqi_day1_avg,gradient_boosting,120,60
aqi_rolling_mean_3h,0.153008386662835,day_1,target_aqi_day1_avg,gradient_boosting,120,60
pm10,0.15063831602125577,day_1,target_aqi_day1_avg,gradient_boosting,120,60
nitrogen_dioxide,0.12518515260925375,day_1,target_aqi_day1_avg,gradient_boosting,120,60
pm2_5,0.09613779020202852,day_1,target_aqi_day1_avg,gradient_boosting,120,60
sulphur_dioxide,0.09379061426872769,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_humidity_day3_avg,0.08390632080651021,day_1,target_aqi_day1_avg,gradient_boosting,120,60
ozone,0.06366429318790336,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_wind_day2_max,0.05866839710856972,day_1,target_aqi_day1_avg,gradient_boosting,120,60
aqi_change_rate_24h,0.04611584322693839,day_1,target_aqi_day1_avg,gradient_boosting,120,60
ozone_rolling_mean_24h,0.04257115900035068,day_1,target_aqi_day1_avg,gradient_boosting,120,60
pm25_lag_24h,0.03766475215381031,day_1,target_aqi_day1_avg,gradient_boosting,120,60
aqi_change_rate_1h,0.03712825646533468,day_1,target_aqi_day1_avg,gradient_boosting,120,60
wind_speed_10m,0.03264829908191532,day_1,target_aqi_day1_avg,gradient_boosting,120,60
wind_direction_10m,0.027777346398983126,day_1,target_aqi_day1_avg,gradient_boosting,120,60
aqi_change_rate_3h,0.026907204969353577,day_1,target_aqi_day1_avg,gradient_boosting,120,60
pm10_lag_24h,0.02453117334507045,day_1,target_aqi_day1_avg,gradient_boosting,120,60
hour,0.019913272425997608,day_1,target_aqi_day1_avg,gradient_boosting,120,60
dayofweek,0.019032774172557658,day_1,target_aqi_day1_avg,gradient_boosting,120,60
relative_humidity_2m,0.01802645004722585,day_1,target_aqi_day1_avg,gradient_boosting,120,60
temperature_2m,0.017045411817624676,day_1,target_aqi_day1_avg,gradient_boosting,120,60
carbon_monoxide,0.016224372789459717,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_wind_day2_avg,0.0135195822698583,day_1,target_aqi_day1_avg,gradient_boosting,120,60
longitude,0.0,day_1,target_aqi_day1_avg,gradient_boosting,120,60
day,0.0,day_1,target_aqi_day1_avg,gradient_boosting,120,60
month,0.0,day_1,target_aqi_day1_avg,gradient_boosting,120,60
precipitation,0.0,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_precip_day1_sum,0.0,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_precip_day2_sum,0.0,day_1,target_aqi_day1_avg,gradient_boosting,120,60
future_precip_day3_sum,0.0,day_1,target_aqi_day1_avg,gradient_boosting,120,60
latitude,10.632871106536838,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_temp_day1_avg,10.030680215258378,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_temp_day2_avg,5.773898212100107,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_humidity_day2_avg,3.782354527691821,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_wind_direction_day3_avg,2.747560537779045,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_pressure_day3_avg,2.569836747870181,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
aqi_rolling_mean_24h,2.1702549460687672,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
pressure_rolling_mean_24h,1.9525581396471208,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
wind_speed_rolling_mean_24h,1.219253562375962,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_temp_day3_avg,0.7382855998994614,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_humidity_day3_avg,0.6224867975920083,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
pm25_rolling_mean_24h,0.55799916252986,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
aqi_change_rate_24h,0.5562397373482123,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
aqi_lag_24h,0.5353208949005293,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
aqi_rolling_mean_12h,0.5336610992301621,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_wind_day1_max,0.4773436935345835,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_humidity_day1_avg,0.4413888236447485,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_pressure_day2_avg,0.362970532121034,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_pressure_day1_avg,0.35058850438745615,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_wind_day1_avg,0.34321886076125624,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
pm10_rolling_mean_24h,0.333137685083199,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_wind_direction_day2_avg,0.2761103863011193,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_wind_day3_max,0.20633065414241555,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
pm2_5,0.19062875729197856,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
aqi_lag_12h,0.17750510393455954,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_wind_day2_max,0.16031419184037687,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_wind_day2_avg,0.15358265158008383,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
wind_direction_10m,0.14739460382509595,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
surface_pressure,0.12785901598359825,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
aqi_change_rate_3h,0.10744813470170568,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
aqi_lag_3h,0.10181092558406143,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
pm25_lag_24h,0.09761831983543247,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
longitude,0.08452694806798447,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
aqi_change_rate_1h,0.08114210509899769,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
sulphur_dioxide,0.07770991749073539,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_wind_direction_day1_avg,0.07004891949245287,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
aqi_lag_1h,0.060422974813369584,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
us_aqi,0.05164374919763145,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
relative_humidity_2m,0.04826564712002622,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
ozone_rolling_mean_24h,0.047260122147576356,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_wind_day3_avg,0.0440666296422423,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
temperature_2m,0.03890278464176878,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
aqi_lag_6h,0.03711483712862321,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
pm10_lag_24h,0.03521693411212912,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
hour,0.03485090887137788,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
aqi_rolling_mean_3h,0.032426166131817966,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
nitrogen_dioxide,0.03189966402172186,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
dust,0.03020280232541513,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
ozone,0.02803380601660536,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
carbon_monoxide,0.025963377413481124,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
aqi_rolling_mean_6h,0.02364519766284574,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
pm10,0.019897003978743683,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
wind_speed_10m,0.019297218203671355,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
day,0.009281583690979155,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
dayofweek,3.592935944096709e-06,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
month,0.0,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
precipitation,0.0,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_precip_day1_sum,0.0,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_precip_day2_sum,0.0,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_precip_day3_sum,0.0,day_2,target_aqi_day2_avg,hist_gradient_boosting,120,60
future_pressure_day3_avg,4.592875005132206,day_3,target_aqi_day3_avg,extra_trees,120,60
future_pressure_day2_avg,4.076939188532632,day_3,target_aqi_day3_avg,extra_trees,120,60
future_temp_day2_avg,4.073717216226779,day_3,target_aqi_day3_avg,extra_trees,120,60
future_humidity_day2_avg,3.54532470542496,day_3,target_aqi_day3_avg,extra_trees,120,60
surface_pressure,2.873970463070129,day_3,target_aqi_day3_avg,extra_trees,120,60
pressure_rolling_mean_24h,2.1805155318741054,day_3,target_aqi_day3_avg,extra_trees,120,60
future_wind_day1_max,1.8529278118880819,day_3,target_aqi_day3_avg,extra_trees,120,60
longitude,1.5093489367169077,day_3,target_aqi_day3_avg,extra_trees,120,60
future_temp_day1_avg,1.3908203990836623,day_3,target_aqi_day3_avg,extra_trees,120,60
dayofweek,1.3312536820643204,day_3,target_aqi_day3_avg,extra_trees,120,60
future_wind_direction_day1_avg,1.1730129560815359,day_3,target_aqi_day3_avg,extra_trees,120,60
future_pressure_day1_avg,1.165147098627739,day_3,target_aqi_day3_avg,extra_trees,120,60
pm10_rolling_mean_24h,1.1630086288333408,day_3,target_aqi_day3_avg,extra_trees,120,60
future_humidity_day1_avg,1.0851767760124318,day_3,target_aqi_day3_avg,extra_trees,120,60
future_wind_day2_max,1.0391446262883113,day_3,target_aqi_day3_avg,extra_trees,120,60
aqi_rolling_mean_24h,0.9285681801439092,day_3,target_aqi_day3_avg,extra_trees,120,60
future_wind_day1_avg,0.9093543085288547,day_3,target_aqi_day3_avg,extra_trees,120,60
latitude,0.8052001982542423,day_3,target_aqi_day3_avg,extra_trees,120,60
future_wind_direction_day3_avg,0.7946538785390371,day_3,target_aqi_day3_avg,extra_trees,120,60
future_humidity_day3_avg,0.7106293070182859,day_3,target_aqi_day3_avg,extra_trees,120,60
aqi_rolling_mean_12h,0.6721485397273183,day_3,target_aqi_day3_avg,extra_trees,120,60
aqi_lag_24h,0.632785576471232,day_3,target_aqi_day3_avg,extra_trees,120,60
aqi_rolling_mean_6h,0.43757462402826747,day_3,target_aqi_day3_avg,extra_trees,120,60
future_wind_day3_max,0.37377922574893524,day_3,target_aqi_day3_avg,extra_trees,120,60
aqi_lag_3h,0.35442626198399424,day_3,target_aqi_day3_avg,extra_trees,120,60
future_wind_day3_avg,0.33886149285829703,day_3,target_aqi_day3_avg,extra_trees,120,60
future_temp_day3_avg,0.3099043489059563,day_3,target_aqi_day3_avg,extra_trees,120,60
ozone_rolling_mean_24h,0.30161685297022406,day_3,target_aqi_day3_avg,extra_trees,120,60
day,0.2732388425925919,day_3,target_aqi_day3_avg,extra_trees,120,60
wind_speed_rolling_mean_24h,0.18145900281170863,day_3,target_aqi_day3_avg,extra_trees,120,60
aqi_lag_6h,0.16594444033840444,day_3,target_aqi_day3_avg,extra_trees,120,60
us_aqi,0.14820451238609547,day_3,target_aqi_day3_avg,extra_trees,120,60
future_wind_direction_day2_avg,0.14340279349296228,day_3,target_aqi_day3_avg,extra_trees,120,60
relative_humidity_2m,0.12986931928806486,day_3,target_aqi_day3_avg,extra_trees,120,60
aqi_lag_1h,0.11624077500826617,day_3,target_aqi_day3_avg,extra_trees,120,60
pm25_rolling_mean_24h,0.09320018163840185,day_3,target_aqi_day3_avg,extra_trees,120,60
aqi_lag_12h,0.09248052290975965,day_3,target_aqi_day3_avg,extra_trees,120,60
aqi_rolling_mean_3h,0.07899793419462803,day_3,target_aqi_day3_avg,extra_trees,120,60
future_wind_day2_avg,0.07843627430019592,day_3,target_aqi_day3_avg,extra_trees,120,60
sulphur_dioxide,0.07556228024760471,day_3,target_aqi_day3_avg,extra_trees,120,60
aqi_change_rate_24h,0.06249641442763405,day_3,target_aqi_day3_avg,extra_trees,120,60
nitrogen_dioxide,0.05081493257642702,day_3,target_aqi_day3_avg,extra_trees,120,60
hour,0.04797087764837335,day_3,target_aqi_day3_avg,extra_trees,120,60
aqi_change_rate_3h,0.04240235160978513,day_3,target_aqi_day3_avg,extra_trees,120,60
ozone,0.03773577056297674,day_3,target_aqi_day3_avg,extra_trees,120,60
wind_direction_10m,0.03454606042631504,day_3,target_aqi_day3_avg,extra_trees,120,60
pm2_5,0.028352176925860666,day_3,target_aqi_day3_avg,extra_trees,120,60
dust,0.0238783829729811,day_3,target_aqi_day3_avg,extra_trees,120,60
pm10_lag_24h,0.022274370295735566,day_3,target_aqi_day3_avg,extra_trees,120,60
pm25_lag_24h,0.01729435871362268,day_3,target_aqi_day3_avg,extra_trees,120,60
carbon_monoxide,0.01235183557006699,day_3,target_aqi_day3_avg,extra_trees,120,60
wind_speed_10m,0.011267309979964812,day_3,target_aqi_day3_avg,extra_trees,120,60
pm10,0.010904915534609705,day_3,target_aqi_day3_avg,extra_trees,120,60
temperature_2m,0.010559829724470537,day_3,target_aqi_day3_avg,extra_trees,120,60
aqi_change_rate_1h,0.00894158520799273,day_3,target_aqi_day3_avg,extra_trees,120,60
month,0.0,day_3,target_aqi_day3_avg,extra_trees,120,60
precipitation,0.0,day_3,target_aqi_day3_avg,extra_trees,120,60
future_precip_day1_sum,0.0,day_3,target_aqi_day3_avg,extra_trees,120,60
future_precip_day2_sum,0.0,day_3,target_aqi_day3_avg,extra_trees,120,60
future_precip_day3_sum,0.0,day_3,target_aqi_day3_avg,extra_trees,120,60
pm10_rolling_mean_24h,5.607759343409139,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_temp_day1_avg,5.484805627565617,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_temp_day3_avg,3.859714625265253,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_lag_24h,3.668343159111771,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_wind_direction_day3_avg,3.305081157031038,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_pressure_day1_avg,2.4990723514488593,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_pressure_day3_avg,2.378323143792749,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_temp_day2_avg,2.2235942975384964,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_humidity_day2_avg,2.059026384845001,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
us_aqi,1.8594523291381402,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_rolling_mean_12h,1.789386032099973,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_humidity_day1_avg,1.5630367151090592,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_lag_12h,1.4916292306267234,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_lag_3h,1.4794590069187543,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_wind_day3_avg,1.206387035654088,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_rolling_mean_24h,1.1860120167717816,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_rolling_mean_3h,1.0510042782605822,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_rolling_mean_6h,1.019854254610313,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
pm25_rolling_mean_24h,1.0039648901549842,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_lag_1h,0.9586400260781378,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_wind_day1_avg,0.9232098667782732,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
wind_speed_rolling_mean_24h,0.8765125692948653,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_lag_6h,0.8383112044806641,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_wind_direction_day2_avg,0.6327307668946589,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
dayofweek,0.5718978599663559,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
surface_pressure,0.49034236083900634,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_humidity_day3_avg,0.36242559191498114,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
pressure_rolling_mean_24h,0.35799716884882715,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
day,0.34724192008351124,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_wind_day1_max,0.26040362906059833,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_wind_direction_day1_avg,0.21973096608808332,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
latitude,0.20525977462652234,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_pressure_day2_avg,0.17419580211693447,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_wind_day3_max,0.16241476144917363,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
nitrogen_dioxide,0.06285131955609718,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_wind_day2_avg,0.0437943334771403,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_change_rate_24h,0.03974616969178331,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_wind_day2_max,0.03744089148897956,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
sulphur_dioxide,0.03145907556755869,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
ozone,0.03119102954039342,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
dust,0.028916330452856385,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
ozone_rolling_mean_24h,0.027706463880682142,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
relative_humidity_2m,0.025529084516511938,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
wind_direction_10m,0.0164930183524518,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
wind_speed_10m,0.016069116590347206,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
carbon_monoxide,0.013627511422172755,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
pm10,0.013501211756248906,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
pm2_5,0.012999349971081476,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
temperature_2m,0.012058391549741199,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
pm25_lag_24h,0.010079843938644266,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
longitude,0.010006619888877669,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
pm10_lag_24h,0.006919593742923376,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_change_rate_1h,0.005940298612778487,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
hour,0.005521495206132773,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
aqi_change_rate_3h,0.002423761898339623,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
month,0.0,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
precipitation,0.0,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_precip_day1_sum,0.0,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_precip_day2_sum,0.0,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
future_precip_day3_sum,0.0,next_72h_avg,target_aqi_next_72h_avg,gradient_boosting,120,60
